source,target,rho,p,n,source_domain,target_domain,q_fdr,abs_rho,cross_domain
MPV,PLCR,0.9957540581682517,0.0,940,inflammatory,inflammatory,0.0,0.9957540581682517,False
PDW,PLCR,0.9781520781067297,0.0,940,inflammatory,inflammatory,0.0,0.9781520781067297,False
MPV,PDW,0.9684777499004181,0.0,940,inflammatory,inflammatory,0.0,0.9684777499004181,False
PLT,PCT,0.9089166247841589,0.0,940,inflammatory,inflammatory,0.0,0.9089166247841589,False
TCHOL,LDL,0.9009051043678387,0.0,1134,metabolic,metabolic,0.0,0.9009051043678387,False
WBC,NEUT_ABS,0.8675140310672959,6.838795512570071e-275,901,inflammatory,inflammatory,4.627584963505748e-273,0.8675140310672959,False
WBC,LYMPH_ABS,0.6033373990400863,1.961544611992451e-90,901,inflammatory,inflammatory,1.1376958749556216e-88,0.6033373990400863,False
WBC,MONO_ABS,0.6008570699535273,1.6181864231646607e-89,901,inflammatory,inflammatory,8.212296097560653e-88,0.6008570699535273,False
NEUT_ABS,MONO_ABS,0.501063715170385,1.933282603863178e-58,901,inflammatory,inflammatory,7.135570337895002e-57,0.501063715170385,False
SHBG,INS0,-0.49632077446164713,3.6622396652976343e-69,1095,endocrine,metabolic,1.6520770045675993e-67,0.49632077446164713,True
HDL,TG,-0.48517118624702105,5.181656312651571e-68,1134,metabolic,metabolic,2.1037524629365376e-66,0.48517118624702105,False
INS0,TG,0.45987623714787434,2.1121213546604406e-58,1095,metabolic,metabolic,7.146010583267825e-57,0.45987623714787434,False
SHBG,HDL,0.4416282604883867,3.4659798334922575e-55,1131,endocrine,metabolic,1.0824521633829665e-53,0.4416282604883867,True
WBC,PCT,0.43450191828218643,1.4414595851789703e-44,940,inflammatory,inflammatory,4.180232797019014e-43,0.43450191828218643,False
ATA_TPO,ATA_TG,0.4271892370598006,1.0925790776868424e-43,956,thyroid,thyroid,2.9572473702723866e-42,0.4271892370598006,False
WBC,PLT,0.41809240894781297,4.5525890356241086e-41,940,inflammatory,inflammatory,9.72816393928099e-40,0.41809240894781297,False
LH,AMH,0.3902908287124924,1.3576847271513385e-41,1107,endocrine,endocrine,3.0623333290191303e-40,0.3902908287124924,False
SHBG,TG,-0.38977929018708113,2.4147041352684405e-42,1131,endocrine,metabolic,6.127311743243668e-41,0.38977929018708113,True
INS0,WBC,0.3883161277460631,2.662543069802073e-34,915,metabolic,inflammatory,4.323969945358567e-33,0.3883161277460631,True
LH,FSH,0.38810968751971636,5.299355293306708e-42,1132,endocrine,endocrine,1.2656107347544256e-40,0.38810968751971636,False
INS0,NEUT_ABS,0.3879366713230278,2.2396938007223934e-33,891,metabolic,inflammatory,3.247556011047471e-32,0.3879366713230278,True
INS0,HDL,-0.3829318230183093,1.451504224164687e-39,1095,metabolic,metabolic,2.9465535750543144e-38,0.3829318230183093,False
PLT,MPV,-0.382669639161678,3.8015426481229467e-34,940,inflammatory,inflammatory,5.936255058222755e-33,0.382669639161678,False
PLT,PLCR,-0.3793650473810803,1.526525829815686e-33,940,inflammatory,inflammatory,2.2954425440932165e-32,0.3793650473810803,False
NEUT_ABS,PCT,0.3775591258089371,6.641347069906109e-32,901,inflammatory,inflammatory,9.297885897868553e-31,0.3775591258089371,False
