,LH,FSH,SHBG,DHEAS,AMH,ANDRO,CORT_8,CORT_23,GLU0,GLU120,INS0,TCHOL,LDL,HDL,TG,WBC,NEUT_ABS,LYMPH_ABS,MONO_ABS,PLT,RDW,MPV,PDW,PCT,PLCR,TSH,FT4,ATA_TPO,ATA_TG
LH,1.0,0.38810968751971636,0.09028247663537954,-0.02858445485824448,0.3902908287124924,0.3773551389124042,-0.08155284821501489,-0.09412006342692107,-0.015731406922198692,0.010167156077773251,0.016883246272774877,0.04024764041432456,0.03031714497849299,0.056272258653061784,-0.048957778831507884,-0.0614035087054134,-0.04419359950662203,-0.06137487076452237,0.03144883500792333,-0.038485502961497824,0.034341115921662564,-0.0026954502046335153,-0.0033940121042759035,-0.033173486268779195,-0.0022844754719463373,-0.016920721811543304,0.16273389658751553,0.018609968637362407,-0.0068637118328239415
FSH,0.38810968751971636,1.0,0.2109056239577182,-0.08848310895355319,-0.12282630604019565,-0.04603861704788386,-0.05317575524229081,-0.06194645044255604,0.01900663289818715,-0.018811936198585715,-0.10049742667442461,-0.007987946609619597,-0.030949492843569133,0.12272748864423642,-0.14213839858460756,-0.13005901021080105,-0.11773366304650949,-0.09027653869477827,-0.0371996126705819,-0.07098158963024744,-0.05634941159069194,0.05124831930350694,0.04279591502061277,-0.0575246330143594,0.04948699241686745,0.01767826965057927,0.16220007819233964,0.004564113179701487,0.0655100588868097
SHBG,0.09028247663537954,0.2109056239577182,1.0,-0.2900117891014611,0.06477880533369812,-0.08493639389791222,-0.01182069867763062,0.10544630914220042,-0.13241722770529507,-0.29023446274578274,-0.49632077446164713,0.010186734934592032,-0.07592794344790776,0.4416282604883867,-0.38977929018708113,-0.3726992940057654,-0.37725904623498074,-0.17593692559087876,-0.2136434326205624,-0.2329351914359412,-0.007612548534834973,0.04815430300069932,0.015511521045728994,-0.22881122566931245,0.039190018988133984,0.00893393576485579,0.1429830500513356,-0.039156206746724084,0.006163021761163815
DHEAS,-0.02858445485824448,-0.08848310895355319,-0.2900117891014611,1.0,-0.070778818812819,0.2658517892073925,0.05262999165965875,0.024121783053051044,0.016166693709599125,0.04411390626741644,0.16619029928862947,-0.03691189748220879,0.019704218439874032,-0.1754378419665775,0.08575767157992245,0.1483627175491748,0.14815750865931737,0.07662840300547041,0.1656152213451983,0.1444724928800003,-0.02719723954275231,-0.046817293093036956,-0.03436055658077799,0.13169511417932314,-0.04779712366823447,-0.04903971320680743,0.11072016795055485,0.025987222852377975,0.030591377463993943
AMH,0.3902908287124924,-0.12282630604019565,0.06477880533369812,-0.070778818812819,1.0,0.37590601325261885,0.009923435270524078,0.014331706232599687,-0.03907368966241567,0.0023236492713534034,-0.03630310600555805,0.07332065912765397,0.06291884999850061,0.04174659930161765,-0.018432158188914173,-0.011157206906418561,-0.04635577534953912,0.06353868778041936,-0.04074824105886613,-0.03704080247361034,-0.031032960131509878,-0.04511367993971335,-0.022161827448632692,-0.04891717176130934,-0.03847207888050767,-0.01407371828766962,0.02590221960395424,-0.08716954673702619,-0.09817520747939237
ANDRO,0.3773551389124042,-0.04603861704788386,-0.08493639389791222,0.2658517892073925,0.37590601325261885,1.0,0.048771732720487904,0.026233669733479025,-0.047159606382234355,0.07723507026587226,0.1019726251449956,0.05992643432705862,0.0676888572361606,-0.045681911469133765,0.08554527393598273,0.052232020561768885,0.03401345574615931,0.06353910894560594,0.05029528998373277,0.011141402815554657,0.007113818897213742,0.01826948865981397,0.03525747893960424,0.02915828329602156,0.022367938094363146,0.02422707776187659,0.07765033933763066,-0.07027997849027935,-0.30755054360547474
CORT_8,-0.08155284821501489,-0.05317575524229081,-0.01182069867763062,0.05262999165965875,0.009923435270524078,0.048771732720487904,1.0,0.18270017452485798,-0.014441923738018746,-0.031134815388446542,-0.06577109882620218,0.05516413584752054,0.00490510714493938,0.12048828101761318,0.010783500679952486,0.00025999304886381493,-0.013866359050063103,0.037513019472788484,-0.03636310285412964,0.02986607066015902,-0.0020059982601259314,-0.10439142432593794,-0.08835464746778487,-0.010548813117637626,-0.09656369750411503,0.05386582106746287,-0.004554090383761404,-0.02543716848925663,-0.11265795610318849
CORT_23,-0.09412006342692107,-0.06194645044255604,0.10544630914220042,0.024121783053051044,0.014331706232599687,0.026233669733479025,0.18270017452485798,1.0,-0.10136159823311723,-0.06962385284389962,-0.19821892110368858,-0.030368323054706933,-0.058158606420824224,0.12150665075284861,-0.11235218437554527,-0.03858416816308393,-0.033065605068880836,-0.05004768080129402,-0.08674863656175218,-0.08617700475026996,0.011015856774326037,-0.01821185245375409,-0.027840932965299162,-0.10115540768719104,-0.020247294477930975,-0.03994881676029122,0.027827343056242345,-0.05186989695327764,-0.03734354965080055
GLU0,-0.015731406922198692,0.01900663289818715,-0.13241722770529507,0.016166693709599125,-0.03907368966241567,-0.047159606382234355,-0.014441923738018746,-0.10136159823311723,1.0,0.16473951541085116,0.31282032888167777,0.054739873033937764,0.10558808895193326,-0.20390249592606396,0.20450306156025036,0.16453770513118085,0.19393565022490203,0.01013881088792038,0.14253925287061034,0.14994822885566908,0.10185655497737103,0.034595594048588245,0.03404765664298489,0.1811335122784417,0.03270118592816437,0.04726352900964062,0.029219384026429655,0.032622418171413765,0.06128384507257705
GLU120,0.010167156077773251,-0.018811936198585715,-0.29023446274578274,0.04411390626741644,0.0023236492713534034,0.07723507026587226,-0.031134815388446542,-0.06962385284389962,0.16473951541085116,1.0,0.2279320448922307,0.06404460481788236,0.09533266145945196,-0.20474782381850035,0.20330325999416743,0.22419980130862502,0.22512733845498584,0.12606579145293703,0.08478754476491598,0.12276704669391696,-0.03859429597853909,0.03964744608773136,0.06314746222154466,0.15161451847030463,0.04708865306178869,0.0216603770447235,-0.0889627782344775,-0.03281513171021155,-0.02500605694561785
