alpha,log_likelihood_per_sample,n_edges,density,ebic_gamma_0_5,eligible_density_le_0_20
0.05,-32.808358642524624,141,0.3472906403940887,86342.13601120598,False
0.075,-33.58138891219883,99,0.2438423645320197,87746.82675508768,False
0.1,-34.22116280998629,87,0.21428571428571427,89225.59861741976,False
0.125,-34.782400080043416,73,0.17980295566502463,90474.58650609992,True
0.15,-35.25099578647111,67,0.16502463054187191,91596.45136164331,True
0.2,-35.98672731487656,47,0.11576354679802955,93210.87518140674,True
0.25,-36.63769656599713,41,0.10098522167487685,94801.80479390023,True
0.3,-37.23620500512075,34,0.08374384236453201,96243.91131437277,True
0.4,-38.32041337544412,19,0.046798029556650245,98824.0869893729,True
0.5,-39.07092071978039,9,0.022167487684729065,100615.45304335811,True
0.6,-39.61462477291179,7,0.017241379310344827,101986.07210088252,True
