source,target,weight,abs_weight,sign,source_domain,target_domain,cross_domain
TCHOL,LDL,0.7673483098384126,0.7673483098384126,positive,metabolic,metabolic,False
PLT,PCT,0.7599000129659252,0.7599000129659252,positive,inflammatory,inflammatory,False
WBC,NEUT_ABS,0.6013143935326982,0.6013143935326982,positive,inflammatory,inflammatory,False
MPV,PLCR,0.5419696304565712,0.5419696304565712,positive,inflammatory,inflammatory,False
PDW,PLCR,0.42955733740235097,0.42955733740235097,positive,inflammatory,inflammatory,False
MPV,PDW,0.3934948675621612,0.3934948675621612,positive,inflammatory,inflammatory,False
WBC,LYMPH_ABS,0.31496157491775,0.31496157491775,positive,inflammatory,inflammatory,False
LH,FSH,0.3130477812747279,0.3130477812747279,positive,endocrine,endocrine,False
ATA_TPO,ATA_TG,0.30887288152266323,0.30887288152266323,positive,thyroid,thyroid,False
HDL,TG,-0.2843690588793305,0.2843690588793305,negative,metabolic,metabolic,False
WBC,MONO_ABS,0.2794396834640023,0.2794396834640023,positive,inflammatory,inflammatory,False
SHBG,INS0,-0.24909926720750086,0.24909926720750086,negative,endocrine,metabolic,True
LH,AMH,0.20233959013297195,0.20233959013297195,positive,endocrine,endocrine,False
AMH,ANDRO,0.20159572776822998,0.20159572776822998,positive,endocrine,endocrine,False
TCHOL,HDL,0.1910410893488261,0.1910410893488261,positive,metabolic,metabolic,False
INS0,TG,0.18934381898145575,0.18934381898145575,positive,metabolic,metabolic,False
LH,ANDRO,0.18157787773789977,0.18157787773789977,positive,endocrine,endocrine,False
SHBG,HDL,0.18083869871969466,0.18083869871969466,positive,endocrine,metabolic,True
TCHOL,TG,0.15827061601231415,0.15827061601231415,positive,metabolic,metabolic,False
GLU0,INS0,0.1579321659865584,0.1579321659865584,positive,metabolic,metabolic,False
SHBG,DHEAS,-0.14832287139630104,0.14832287139630104,negative,endocrine,endocrine,False
DHEAS,ANDRO,0.12266655736288587,0.12266655736288587,positive,endocrine,endocrine,False
ANDRO,ATA_TG,-0.11570031516478078,0.11570031516478078,negative,endocrine,thyroid,True
SHBG,GLU120,-0.11116413219023193,0.11116413219023193,negative,endocrine,metabolic,True
SHBG,TG,-0.09918601732293128,0.09918601732293128,negative,endocrine,metabolic,True
LDL,HDL,-0.09033790257204995,0.09033790257204995,negative,metabolic,metabolic,False
INS0,HDL,-0.08057565087215744,0.08057565087215744,negative,metabolic,metabolic,False
NEUT_ABS,MONO_ABS,0.07692875409996179,0.07692875409996179,positive,inflammatory,inflammatory,False
FSH,AMH,-0.07351371596940556,0.07351371596940556,negative,endocrine,endocrine,False
WBC,PCT,0.07198656801032338,0.07198656801032338,positive,inflammatory,inflammatory,False
TCHOL,FT4,-0.06661042228163157,0.06661042228163157,negative,metabolic,thyroid,True
RDW,PCT,0.06370945921566751,0.06370945921566751,positive,inflammatory,inflammatory,False
SHBG,NEUT_ABS,-0.05991344396006591,0.05991344396006591,negative,endocrine,inflammatory,True
PLT,MPV,-0.05991251080562606,0.05991251080562606,negative,inflammatory,inflammatory,False
PLT,PLCR,-0.0580950122547036,0.0580950122547036,negative,inflammatory,inflammatory,False
INS0,PCT,0.055716319299116454,0.055716319299116454,positive,metabolic,inflammatory,True
GLU0,GLU120,0.053311998732967956,0.053311998732967956,positive,metabolic,metabolic,False
INS0,WBC,0.05196165811260789,0.05196165811260789,positive,metabolic,inflammatory,True
CORT_8,CORT_23,0.05148687631568958,0.05148687631568958,positive,endocrine,endocrine,False
CORT_23,INS0,-0.046492521277299775,0.046492521277299775,negative,endocrine,metabolic,True
TG,WBC,0.04602996302360749,0.04602996302360749,positive,metabolic,inflammatory,True
TG,PLT,0.045987783404334646,0.045987783404334646,positive,metabolic,inflammatory,True
FSH,SHBG,0.04502075429646542,0.04502075429646542,positive,endocrine,endocrine,False
WBC,PLT,0.042665017962490025,0.042665017962490025,positive,inflammatory,inflammatory,False
LH,FT4,0.04119588290605312,0.04119588290605312,positive,endocrine,thyroid,True
PCT,PLCR,0.03752877785944284,0.03752877785944284,positive,inflammatory,inflammatory,False
GLU120,TG,0.03517492161778859,0.03517492161778859,positive,metabolic,metabolic,False
FSH,FT4,0.03509026918072977,0.03509026918072977,positive,endocrine,thyroid,True
GLU0,HDL,-0.03261952816407762,0.03261952816407762,negative,metabolic,metabolic,False
TG,FT4,-0.031763737553124165,0.031763737553124165,negative,metabolic,thyroid,True
MPV,PCT,0.03125644194131647,0.03125644194131647,positive,inflammatory,inflammatory,False
INS0,NEUT_ABS,0.030669392705289546,0.030669392705289546,positive,metabolic,inflammatory,True
MONO_ABS,PCT,0.0296950704925971,0.0296950704925971,positive,inflammatory,inflammatory,False
LDL,TG,0.029544460572463172,0.029544460572463172,positive,metabolic,metabolic,False
PLT,PDW,-0.025788087012587488,0.025788087012587488,negative,inflammatory,inflammatory,False
GLU120,INS0,0.02291588261925736,0.02291588261925736,positive,metabolic,metabolic,False
SHBG,WBC,-0.021376933075518263,0.021376933075518263,negative,endocrine,inflammatory,True
DHEAS,MONO_ABS,0.019977407653921194,0.019977407653921194,positive,endocrine,inflammatory,True
CORT_8,HDL,0.018199450127586784,0.018199450127586784,positive,endocrine,metabolic,True
GLU120,WBC,0.01708731024423737,0.01708731024423737,positive,metabolic,inflammatory,True
GLU0,NEUT_ABS,0.016690822454772363,0.016690822454772363,positive,metabolic,inflammatory,True
GLU120,HDL,-0.013153517742221522,0.013153517742221522,negative,metabolic,metabolic,False
TCHOL,TSH,0.012587019956680951,0.012587019956680951,positive,metabolic,thyroid,True
HDL,WBC,-0.010178823652653612,0.010178823652653612,negative,metabolic,inflammatory,True
INS0,PLT,0.007461463407911017,0.007461463407911017,positive,metabolic,inflammatory,True
GLU120,NEUT_ABS,0.006332428672257408,0.006332428672257408,positive,metabolic,inflammatory,True
LDL,PLT,0.004867289115732464,0.004867289115732464,positive,metabolic,inflammatory,True
GLU0,PCT,0.004009753337357149,0.004009753337357149,positive,metabolic,inflammatory,True
GLU0,TG,0.0039641952117077375,0.0039641952117077375,positive,metabolic,metabolic,False
NEUT_ABS,PCT,0.003916316964048577,0.003916316964048577,positive,inflammatory,inflammatory,False
TG,NEUT_ABS,0.0030686422034507687,0.0030686422034507687,positive,metabolic,inflammatory,True
TG,PCT,0.0010109273906235442,0.0010109273906235442,positive,metabolic,inflammatory,True
INS0,RDW,0.0003620634348507065,0.0003620634348507065,positive,metabolic,inflammatory,True
