,LH,FSH,SHBG,DHEAS,AMH,ANDRO,CORT_8,CORT_23,GLU0,GLU120,INS0,TCHOL,LDL,HDL,TG,WBC,NEUT_ABS,LYMPH_ABS,MONO_ABS,PLT,RDW,MPV,PDW,PCT,PLCR,TSH,FT4,ATA_TPO,ATA_TG
LH,1.0,0.3130477812747279,0.0,0.0,0.20233959013297195,0.18157787773789977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.04119588290605312,0.0,0.0
FSH,0.3130477812747279,1.0,0.04502075429646542,0.0,-0.07351371596940556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03509026918072977,0.0,0.0
SHBG,0.0,0.04502075429646542,1.0,-0.14832287139630104,0.0,0.0,0.0,0.0,0.0,-0.11116413219023193,-0.24909926720750086,0.0,0.0,0.18083869871969466,-0.09918601732293128,-0.021376933075518263,-0.05991344396006591,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHEAS,0.0,0.0,-0.14832287139630104,1.0,-0.0,0.12266655736288587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.019977407653921194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMH,0.20233959013297195,-0.07351371596940556,0.0,-0.0,1.0,0.20159572776822998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDRO,0.18157787773789977,0.0,0.0,0.12266655736288587,0.20159572776822998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11570031516478078
CORT_8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05148687631568958,0.0,0.0,0.0,0.0,0.0,0.018199450127586784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORT_23,0.0,0.0,0.0,0.0,0.0,0.0,0.05148687631568958,1.0,0.0,0.0,-0.046492521277299775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLU0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053311998732967956,0.1579321659865584,0.0,0.0,-0.03261952816407762,0.0039641952117077375,0.0,0.016690822454772363,0.0,0.0,0.0,0.0,0.0,0.0,0.004009753337357149,0.0,0.0,0.0,0.0,0.0
GLU120,0.0,0.0,-0.11116413219023193,0.0,0.0,0.0,0.0,0.0,0.053311998732967956,1.0,0.02291588261925736,0.0,0.0,-0.013153517742221522,0.03517492161778859,0.01708731024423737,0.006332428672257408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
