alpha,n_edges,density,rank,feature,domain,bridge_strength
0.075,99,0.2438423645320197,1,SHBG,endocrine,0.7736231260057664
0.075,99,0.2438423645320197,2,INS0,metabolic,0.5170806914794072
0.075,99,0.2438423645320197,3,FT4,thyroid,0.36938301002050794
0.075,99,0.2438423645320197,4,TG,metabolic,0.29054153155346385
0.075,99,0.2438423645320197,5,HDL,metabolic,0.2567274820376565
0.075,99,0.2438423645320197,6,ATA_TG,thyroid,0.18503341998038694
0.075,99,0.2438423645320197,7,ANDRO,endocrine,0.1725135988367962
0.075,99,0.2438423645320197,8,GLU120,metabolic,0.15965803321236877
0.1,87,0.21428571428571427,1,SHBG,endocrine,0.7491055215621613
0.1,87,0.21428571428571427,2,INS0,metabolic,0.4802863733671166
0.1,87,0.21428571428571427,3,FT4,thyroid,0.2592837900737899
0.1,87,0.21428571428571427,4,TG,metabolic,0.2530645759016596
0.1,87,0.21428571428571427,5,HDL,metabolic,0.23372498760782834
0.1,87,0.21428571428571427,6,GLU120,metabolic,0.14878336936633427
0.1,87,0.21428571428571427,7,WBC,inflammatory,0.14264383313051315
0.1,87,0.21428571428571427,8,ANDRO,endocrine,0.1363961932693178
0.125,73,0.17980295566502463,1,SHBG,endocrine,0.721578492475943
0.125,73,0.17980295566502463,2,INS0,metabolic,0.44176268544457625
0.125,73,0.17980295566502463,3,TG,metabolic,0.2270470708980719
0.125,73,0.17980295566502463,4,HDL,metabolic,0.20921697249993504
0.125,73,0.17980295566502463,5,FT4,thyroid,0.17466031192153864
0.125,73,0.17980295566502463,6,WBC,inflammatory,0.14663468810862462
0.125,73,0.17980295566502463,7,GLU120,metabolic,0.1345838711067267
0.125,73,0.17980295566502463,8,NEUT_ABS,inflammatory,0.116674729995836
0.15,67,0.16502463054187191,1,SHBG,endocrine,0.6994175771403941
0.15,67,0.16502463054187191,2,INS0,metabolic,0.4151996499982638
0.15,67,0.16502463054187191,3,TG,metabolic,0.2106564637672016
0.15,67,0.16502463054187191,4,HDL,metabolic,0.18280613146048108
0.15,67,0.16502463054187191,5,WBC,inflammatory,0.14253816220154109
0.15,67,0.16502463054187191,6,FT4,thyroid,0.11875269342751987
0.15,67,0.16502463054187191,7,GLU120,metabolic,0.11743971093327571
0.15,67,0.16502463054187191,8,NEUT_ABS,inflammatory,0.10135772104948017
0.2,47,0.11576354679802955,1,SHBG,endocrine,0.628845431025039
0.2,47,0.11576354679802955,2,INS0,metabolic,0.36207433151798557
0.2,47,0.11576354679802955,3,TG,metabolic,0.17218751497690776
0.2,47,0.11576354679802955,4,HDL,metabolic,0.15872900912034832
0.2,47,0.11576354679802955,5,WBC,inflammatory,0.11999189871830196
0.2,47,0.11576354679802955,6,GLU120,metabolic,0.07865878433462192
0.2,47,0.11576354679802955,7,NEUT_ABS,inflammatory,0.07626176180060383
0.2,47,0.11576354679802955,8,ANDRO,endocrine,0.05102138207189017
0.25,41,0.10098522167487685,1,SHBG,endocrine,0.5117357003751807
0.25,41,0.10098522167487685,2,INS0,metabolic,0.31296727867059243
0.25,41,0.10098522167487685,3,HDL,metabolic,0.13502932444964366
0.25,41,0.10098522167487685,4,TG,metabolic,0.13074947084382693
0.25,41,0.10098522167487685,5,WBC,inflammatory,0.09929765644169371
0.25,41,0.10098522167487685,6,NEUT_ABS,inflammatory,0.053235043420341785
0.25,41,0.10098522167487685,7,GLU120,metabolic,0.03716037057949904
0.25,41,0.10098522167487685,8,PCT,inflammatory,0.03441560224245759
0.3,34,0.08374384236453201,1,SHBG,endocrine,0.3701112295084792
0.3,34,0.08374384236453201,2,INS0,metabolic,0.24117279053210053
0.3,34,0.08374384236453201,3,HDL,metabolic,0.1064820918957522
0.3,34,0.08374384236453201,4,TG,metabolic,0.07431036995509319
0.3,34,0.08374384236453201,5,WBC,inflammatory,0.061843218358012736
0.3,34,0.08374384236453201,6,NEUT_ABS,inflammatory,0.020310070449766272
0.3,34,0.08374384236453201,7,PCT,inflammatory,0.010350288892571008
0.3,34,0.08374384236453201,8,PLCR,inflammatory,0.0
