feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
SHBG,endocrine,8,0.8459844244491128,0.12169312169312169,6,0.6949290258565696
INS0,metabolic,10,0.8676800127803195,0.24338624338624337,6,0.40134603238759564
TG,metabolic,11,0.878054377220677,0.3306878306878307,6,0.23459035975833675
HDL,metabolic,7,0.7225518367242375,0.013227513227513227,2,0.20030207366459254
ANDRO,endocrine,4,0.7383894517280349,0.13227513227513227,1,0.19059664273906518
ATA_TG,thyroid,2,0.496220360547847,0.06878306878306878,1,0.19059664273906518
NEUT_ABS,inflammatory,8,0.8119285429423605,0.5264550264550264,5,0.14884617011891674
WBC,inflammatory,10,1.4574647435546109,0.2566137566137566,5,0.1454654031776949
GLU120,metabolic,6,0.19564427336874043,0.4444444444444444,3,0.12573052498766496
FT4,thyroid,3,0.08964767865836115,0.13227513227513227,3,0.08964767865836117
PLT,inflammatory,8,0.9562241169293075,0.13227513227513227,3,0.07243140489037955
PCT,inflammatory,9,0.971376204380079,0.18253968253968253,2,0.06985619833883214
TCHOL,metabolic,4,1.0380458722060868,0.0,1,0.04735712334603745
LH,endocrine,4,0.6744780368174352,0.0,1,0.020032096496425632
GLU0,metabolic,4,0.24748133183094076,0.037037037037037035,1,0.01880875076049039
CORT_23,endocrine,2,0.024856377147048307,0.06878306878306878,1,0.011389815092814113
MONO_ABS,inflammatory,4,0.3757492138378706,0.23544973544973544,1,0.011336984225039376
DHEAS,endocrine,3,0.23918864817370322,0.18253968253968253,1,0.011336984225039376
LDL,metabolic,4,0.8381084086345564,0.0,1,0.0061695682167840675
PLCR,inflammatory,4,1.010086670826197,0.0,0,0.0
MPV,inflammatory,4,0.9783287897806455,0.0,0,0.0
PDW,inflammatory,3,0.8487018484949083,0.0,0,0.0
AMH,endocrine,3,0.3877360451313717,0.0,0,0.0
FSH,endocrine,3,0.3296056465658617,0.0582010582010582,0,0.0
LYMPH_ABS,inflammatory,1,0.30826546263751875,0.0,0,0.0
ATA_TPO,thyroid,1,0.30562371780878184,0.0,0,0.0
RDW,inflammatory,1,0.038203246557483535,0.0,0,0.0
CORT_8,endocrine,1,0.013466562054234193,0.0,0,0.0
TSH,thyroid,0,0.0,0.0,0,0.0
