alpha,log_likelihood_per_sample,n_edges,density,ebic_gamma_0_5,eligible_density_le_0_20
0.05,-32.400352756335536,152,0.37438423645320196,59403.69163307099,False
0.075,-33.25829001895951,111,0.2733990147783251,60367.9132364112,False
0.1,-33.94473721986043,90,0.22167487684729065,61299.001016601236,False
0.125,-34.54004777337424,82,0.2019704433497537,62244.53926188084,False
0.15,-35.05134872234055,66,0.1625615763546798,62933.21907267151,True
0.2,-35.80757376513935,50,0.12315270935960591,64055.4145295457,True
0.25,-36.4503216658522,43,0.10591133004926108,65098.43705867257,True
0.3,-37.06309108207069,37,0.09113300492610837,66101.91784954943,True
0.4,-38.241971983354404,20,0.04926108374384237,67958.6939966369,True
0.5,-39.03748341971536,9,0.022167487684729065,69218.02726664102,True
0.6,-39.59010786027779,8,0.019704433497536946,70182.65234713154,True
