,LH,FSH,SHBG,DHEAS,AMH,ANDRO,CORT_8,CORT_23,GLU0,GLU120,INS0,TCHOL,LDL,HDL,TG,WBC,NEUT_ABS,LYMPH_ABS,MONO_ABS,PLT,RDW,MPV,PDW,PCT,PLCR,TSH,FT4,ATA_TPO,ATA_TG
LH,1.0,0.26278869212213807,0.0,0.0,0.15002500466504448,0.24163224353382703,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020032096496425632,0.0,0.0
FSH,0.26278869212213807,1.0,0.029235107038209297,0.0,-0.03758184740551433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHBG,0.0,0.029235107038209297,1.0,-0.12182029155433403,0.0,0.0,0.0,0.0,0.0,-0.09725172579539298,-0.22773847399013458,0.0,-0.0,0.19103316067860474,-0.08979108213461687,-0.012619247574869713,-0.07649533568295065,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
DHEAS,0.0,0.0,-0.12182029155433403,1.0,-0.0,0.10603137239432982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.011336984225039376,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMH,0.15002500466504448,-0.03758184740551433,0.0,-0.0,1.0,0.2001291930608129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
ANDRO,0.24163224353382703,0.0,0.0,0.10603137239432982,0.2001291930608129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19059664273906518
CORT_8,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013466562054234193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
CORT_23,-0.0,0.0,0.0,0.0,0.0,0.0,0.013466562054234193,1.0,-0.0,0.0,-0.011389815092814113,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
GLU0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.04664409001733023,0.16314172869356702,0.0,0.0,-0.018886762359553118,0.0,0.0,0.01880875076049039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLU120,0.0,0.0,-0.09725172579539298,0.0,0.0,0.0,0.0,0.0,0.04664409001733023,1.0,0.00824540529590349,0.0,0.0,-0.0,0.015024253067841765,0.020934457925520258,0.0075443412667517175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INS0,0.0,0.0,-0.22773847399013458,0.0,0.0,0.0,0.0,-0.011389815092814113,0.16314172869356702,0.00824540529590349,1.0,0.0,0.0,-0.08616571053746053,0.20878113586579278,0.04183003847867255,0.04495480169758509,0.0,0.0,0.014728515874775912,0.0,0.0,0.0,0.06070438725361336,0.0,0.0,0.0,0.0,0.0
TCHOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7368976401827622,0.12811820046389066,0.1256729082133964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.04735712334603745,0.0,0.0
LDL,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7368976401827622,1.0,-0.045067284809220794,0.04997391542578941,0.0,0.0,0.0,0.0,0.0061695682167840675,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
HDL,0.0,0.0,0.19103316067860474,-0.0,0.0,0.0,0.0,0.0,-0.018886762359553118,-0.0,-0.08616571053746053,0.12811820046389066,-0.045067284809220794,1.0,-0.2440118048895199,-0.00926891298598782,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
