source,target,weight,abs_weight,sign,source_domain,target_domain,cross_domain
TCHOL,LDL,0.7368976401827622,0.7368976401827622,positive,metabolic,metabolic,False
PLT,PCT,0.7262592120726935,0.7262592120726935,positive,inflammatory,inflammatory,False
WBC,NEUT_ABS,0.6114809999323789,0.6114809999323789,positive,inflammatory,inflammatory,False
MPV,PLCR,0.5268566479720487,0.5268566479720487,positive,inflammatory,inflammatory,False
PDW,PLCR,0.42438709759447035,0.42438709759447035,positive,inflammatory,inflammatory,False
MPV,PDW,0.39420681147610753,0.39420681147610753,positive,inflammatory,inflammatory,False
WBC,LYMPH_ABS,0.30826546263751875,0.30826546263751875,positive,inflammatory,inflammatory,False
ATA_TPO,ATA_TG,0.30562371780878184,0.30562371780878184,positive,thyroid,thyroid,False
WBC,MONO_ABS,0.29099541178759064,0.29099541178759064,positive,inflammatory,inflammatory,False
LH,FSH,0.26278869212213807,0.26278869212213807,positive,endocrine,endocrine,False
HDL,TG,-0.2440118048895199,0.2440118048895199,negative,metabolic,metabolic,False
LH,ANDRO,0.24163224353382703,0.24163224353382703,positive,endocrine,endocrine,False
SHBG,INS0,-0.22773847399013458,0.22773847399013458,negative,endocrine,metabolic,True
INS0,TG,0.20878113586579278,0.20878113586579278,positive,metabolic,metabolic,False
AMH,ANDRO,0.2001291930608129,0.2001291930608129,positive,endocrine,endocrine,False
SHBG,HDL,0.19103316067860474,0.19103316067860474,positive,endocrine,metabolic,True
ANDRO,ATA_TG,-0.19059664273906518,0.19059664273906518,negative,endocrine,thyroid,True
GLU0,INS0,0.16314172869356702,0.16314172869356702,positive,metabolic,metabolic,False
LH,AMH,0.15002500466504448,0.15002500466504448,positive,endocrine,endocrine,False
TCHOL,HDL,0.12811820046389066,0.12811820046389066,positive,metabolic,metabolic,False
TCHOL,TG,0.1256729082133964,0.1256729082133964,positive,metabolic,metabolic,False
SHBG,DHEAS,-0.12182029155433403,0.12182029155433403,negative,endocrine,endocrine,False
DHEAS,ANDRO,0.10603137239432982,0.10603137239432982,positive,endocrine,endocrine,False
SHBG,GLU120,-0.09725172579539298,0.09725172579539298,negative,endocrine,metabolic,True
SHBG,TG,-0.08979108213461687,0.08979108213461687,negative,endocrine,metabolic,True
INS0,HDL,-0.08616571053746053,0.08616571053746053,negative,metabolic,metabolic,False
SHBG,NEUT_ABS,-0.07649533568295065,0.07649533568295065,negative,endocrine,inflammatory,True
WBC,PCT,0.06139615582924252,0.06139615582924252,positive,inflammatory,inflammatory,False
TG,WBC,0.06081274621264454,0.06081274621264454,positive,metabolic,inflammatory,True
INS0,PCT,0.06070438725361336,0.06070438725361336,positive,metabolic,inflammatory,True
TG,PLT,0.05153332079881958,0.05153332079881958,positive,metabolic,inflammatory,True
LDL,TG,0.04997391542578941,0.04997391542578941,positive,metabolic,metabolic,False
TCHOL,FT4,-0.04735712334603745,0.04735712334603745,negative,metabolic,thyroid,True
PLT,MPV,-0.04686548728206566,0.04686548728206566,negative,inflammatory,inflammatory,False
GLU0,GLU120,0.04664409001733023,0.04664409001733023,positive,metabolic,metabolic,False
LDL,HDL,-0.045067284809220794,0.045067284809220794,negative,metabolic,metabolic,False
INS0,NEUT_ABS,0.04495480169758509,0.04495480169758509,positive,metabolic,inflammatory,True
INS0,WBC,0.04183003847867255,0.04183003847867255,positive,metabolic,inflammatory,True
PLT,PLCR,-0.040698763069653296,0.040698763069653296,negative,inflammatory,inflammatory,False
WBC,PLT,0.03986131019018511,0.03986131019018511,positive,inflammatory,inflammatory,False
NEUT_ABS,MONO_ABS,0.038950402187463234,0.038950402187463234,positive,inflammatory,inflammatory,False
RDW,PCT,0.038203246557483535,0.038203246557483535,positive,inflammatory,inflammatory,False
FSH,AMH,-0.03758184740551433,0.03758184740551433,negative,endocrine,endocrine,False
MONO_ABS,PCT,0.03446641563777735,0.03446641563777735,positive,inflammatory,inflammatory,False
PLT,PDW,-0.0301079394243304,0.0301079394243304,negative,inflammatory,inflammatory,False
FSH,SHBG,0.029235107038209297,0.029235107038209297,positive,endocrine,endocrine,False
TG,FT4,-0.022258458815898077,0.022258458815898077,negative,metabolic,thyroid,True
GLU120,WBC,0.020934457925520258,0.020934457925520258,positive,metabolic,inflammatory,True
LH,FT4,0.020032096496425632,0.020032096496425632,positive,endocrine,thyroid,True
GLU0,HDL,-0.018886762359553118,0.018886762359553118,negative,metabolic,metabolic,False
GLU0,NEUT_ABS,0.01880875076049039,0.01880875076049039,positive,metabolic,inflammatory,True
PCT,PLCR,0.01814416219002466,0.01814416219002466,positive,inflammatory,inflammatory,False
GLU120,TG,0.015024253067841765,0.015024253067841765,positive,metabolic,metabolic,False
INS0,PLT,0.014728515874775912,0.014728515874775912,positive,metabolic,inflammatory,True
CORT_8,CORT_23,0.013466562054234193,0.013466562054234193,positive,endocrine,endocrine,False
NEUT_ABS,PCT,0.012650970703601567,0.012650970703601567,positive,inflammatory,inflammatory,False
SHBG,WBC,-0.012619247574869713,0.012619247574869713,negative,endocrine,inflammatory,True
CORT_23,INS0,-0.011389815092814113,0.011389815092814113,negative,endocrine,metabolic,True
DHEAS,MONO_ABS,0.011336984225039376,0.011336984225039376,positive,endocrine,inflammatory,True
MPV,PCT,0.010399843050423681,0.010399843050423681,positive,inflammatory,inflammatory,False
HDL,WBC,-0.00926891298598782,0.00926891298598782,negative,metabolic,inflammatory,True
TG,PCT,0.00915181108521878,0.00915181108521878,positive,metabolic,inflammatory,True
GLU120,INS0,0.00824540529590349,0.00824540529590349,positive,metabolic,metabolic,False
