feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
SHBG,endocrine,8,0.8459844244491128,0.12169312169312169,6,0.6949290258565696
INS0,metabolic,10,0.8676800127803195,0.24338624338624337,6,0.40134603238759564
TG,metabolic,11,0.878054377220677,0.3306878306878307,6,0.23459035975833675
HDL,metabolic,7,0.7225518367242375,0.013227513227513227,2,0.20030207366459254
ANDRO,endocrine,4,0.7383894517280349,0.13227513227513227,1,0.19059664273906518
ATA_TG,thyroid,2,0.496220360547847,0.06878306878306878,1,0.19059664273906518
NEUT_ABS,inflammatory,8,0.8119285429423605,0.5264550264550264,5,0.14884617011891674
WBC,inflammatory,10,1.4574647435546109,0.2566137566137566,5,0.1454654031776949
GLU120,metabolic,6,0.19564427336874043,0.4444444444444444,3,0.12573052498766496
FT4,thyroid,3,0.08964767865836115,0.13227513227513227,3,0.08964767865836117
