feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
WBC,inflammatory,10,1.4574647435546109,0.2566137566137566,5,0.1454654031776949
TCHOL,metabolic,4,1.0380458722060868,0.0,1,0.04735712334603745
PLCR,inflammatory,4,1.010086670826197,0.0,0,0.0
MPV,inflammatory,4,0.9783287897806455,0.0,0,0.0
PCT,inflammatory,9,0.971376204380079,0.18253968253968253,2,0.06985619833883214
PLT,inflammatory,8,0.9562241169293075,0.13227513227513227,3,0.07243140489037955
TG,metabolic,11,0.878054377220677,0.3306878306878307,6,0.23459035975833675
INS0,metabolic,10,0.8676800127803195,0.24338624338624337,6,0.40134603238759564
PDW,inflammatory,3,0.8487018484949083,0.0,0,0.0
SHBG,endocrine,8,0.8459844244491128,0.12169312169312169,6,0.6949290258565696
