feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
SHBG,endocrine,8,0.9149221181687089,0.021164021164021163,6,0.7215784924759426
INS0,metabolic,11,0.8925302039040047,0.15608465608465608,7,0.44176268544457586
TG,metabolic,12,0.9277141421731311,0.3941798941798942,6,0.2270470708980715
HDL,metabolic,9,0.9013137200785979,0.07671957671957672,3,0.2092169724999349
FT4,thyroid,4,0.1746603119215384,0.283068783068783,4,0.1746603119215384
WBC,inflammatory,10,1.4570019259958882,0.1455026455026455,5,0.1466346881086243
GLU120,metabolic,7,0.2591401918189618,0.373015873015873,3,0.1345838711067266
NEUT_ABS,inflammatory,8,0.7988341945925442,0.3465608465608465,5,0.1166747299958358
ANDRO,endocrine,4,0.6215404780337961,0.13756613756613756,1,0.1157003151647807
ATA_TG,thyroid,2,0.42457319668744387,0.07142857142857142,1,0.1157003151647807
TCHOL,metabolic,5,1.1958574574378653,0.07142857142857142,2,0.0791974422383124
PCT,inflammatory,10,1.0587296474764178,0.38095238095238093,3,0.060737000027097
PLT,inflammatory,8,1.0046771769293101,0.10582010582010581,3,0.058316535927977996
CORT_23,endocrine,2,0.09797939759298921,0.0,1,0.0464925212772997
LH,endocrine,4,0.7381611320516526,0.0,1,0.0411958829060531
FSH,endocrine,4,0.4666725207213285,0.06349206349206349,1,0.0350902691807297
GLU0,metabolic,6,0.268528463887441,0.0,2,0.020700575792129403
MONO_ABS,inflammatory,4,0.4060409157104822,0.23809523809523808,1,0.0199774076539211
DHEAS,endocrine,3,0.2909668364131079,0.18253968253968253,1,0.0199774076539211
CORT_8,endocrine,2,0.0696863264432762,0.010582010582010581,1,0.0181994501275867
TSH,thyroid,1,0.0125870199566809,0.0,1,0.0125870199566809
LDL,metabolic,4,0.892097962098658,0.07407407407407407,1,0.0048672891157324
RDW,inflammatory,2,0.0640715226505182,0.0,1,0.0003620634348507
PLCR,inflammatory,4,1.0671507579730686,0.0,0,0.0
MPV,inflammatory,4,1.0266334507656747,0.0,0,0.0
PDW,inflammatory,3,0.8488402919770995,0.0,0,0.0
AMH,endocrine,3,0.4774490338706073,0.0,0,0.0
LYMPH_ABS,inflammatory,1,0.31496157491775,0.0,0,0.0
ATA_TPO,thyroid,1,0.3088728815226632,0.0,0,0.0
