feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
SHBG,endocrine,8,0.9149221181687089,0.021164021164021163,6,0.7215784924759426
INS0,metabolic,11,0.8925302039040047,0.15608465608465608,7,0.44176268544457586
TG,metabolic,12,0.9277141421731311,0.3941798941798942,6,0.2270470708980715
HDL,metabolic,9,0.9013137200785979,0.07671957671957672,3,0.2092169724999349
FT4,thyroid,4,0.1746603119215384,0.283068783068783,4,0.1746603119215384
WBC,inflammatory,10,1.4570019259958882,0.1455026455026455,5,0.1466346881086243
GLU120,metabolic,7,0.2591401918189618,0.373015873015873,3,0.1345838711067266
NEUT_ABS,inflammatory,8,0.7988341945925442,0.3465608465608465,5,0.1166747299958358
ANDRO,endocrine,4,0.6215404780337961,0.13756613756613756,1,0.1157003151647807
ATA_TG,thyroid,2,0.42457319668744387,0.07142857142857142,1,0.1157003151647807
