feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
WBC,inflammatory,10,1.4570019259958882,0.1455026455026455,5,0.1466346881086243
TCHOL,metabolic,5,1.1958574574378653,0.07142857142857142,2,0.0791974422383124
PLCR,inflammatory,4,1.0671507579730686,0.0,0,0.0
PCT,inflammatory,10,1.0587296474764178,0.38095238095238093,3,0.060737000027097
MPV,inflammatory,4,1.0266334507656747,0.0,0,0.0
PLT,inflammatory,8,1.0046771769293101,0.10582010582010581,3,0.058316535927977996
TG,metabolic,12,0.9277141421731311,0.3941798941798942,6,0.2270470708980715
SHBG,endocrine,8,0.9149221181687089,0.021164021164021163,6,0.7215784924759426
HDL,metabolic,9,0.9013137200785979,0.07671957671957672,3,0.2092169724999349
INS0,metabolic,11,0.8925302039040047,0.15608465608465608,7,0.44176268544457586
