source,target,selection_frequency,primary_edge
ATA_TG,ATA_TPO,1.0,1
PLCR,PLT,1.0,1
PLT,WBC,1.0,1
FT4,TCHOL,1.0,1
PCT,PLT,1.0,1
MPV,PLCR,1.0,1
PDW,PLCR,1.0,1
PCT,WBC,1.0,1
PCT,PLCR,1.0,1
MPV,PCT,1.0,1
SHBG,TG,1.0,1
MONO_ABS,NEUT_ABS,1.0,1
MONO_ABS,WBC,1.0,1
MPV,PLT,1.0,1
MPV,PDW,1.0,1
DHEAS,SHBG,1.0,1
FSH,LH,1.0,1
GLU0,INS0,1.0,1
ANDRO,DHEAS,1.0,1
ANDRO,LH,1.0,1
INS0,TG,1.0,1
INS0,SHBG,1.0,1
TG,WBC,1.0,1
INS0,PCT,1.0,1
LDL,TCHOL,1.0,1
HDL,SHBG,1.0,1
TCHOL,TG,1.0,1
AMH,ANDRO,1.0,1
HDL,LDL,1.0,1
HDL,TG,1.0,1
HDL,TCHOL,1.0,1
NEUT_ABS,WBC,1.0,1
LYMPH_ABS,WBC,1.0,1
AMH,LH,1.0,1
ANDRO,ATA_TG,1.0,1
GLU120,SHBG,1.0,1
HDL,INS0,0.998,1
PDW,PLT,0.998,1
AMH,FSH,0.998,1
PLT,TG,0.996,1
INS0,WBC,0.996,1
PCT,RDW,0.996,1
NEUT_ABS,SHBG,0.994,1
CORT_23,INS0,0.98,1
CORT_23,CORT_8,0.968,1
LDL,TG,0.956,1
FSH,SHBG,0.954,1
GLU0,GLU120,0.95,1
MONO_ABS,PCT,0.928,1
FT4,LH,0.918,1
SHBG,WBC,0.898,1
INS0,NEUT_ABS,0.89,1
GLU120,TG,0.888,1
GLU0,HDL,0.878,1
FSH,FT4,0.874,1
FT4,TG,0.85,1
GLU120,INS0,0.808,1
GLU0,NEUT_ABS,0.788,1
GLU120,WBC,0.742,1
CORT_8,HDL,0.742,1
DHEAS,MONO_ABS,0.728,1
INS0,PLT,0.72,1
TCHOL,TSH,0.686,1
GLU120,HDL,0.678,1
HDL,WBC,0.654,1
GLU120,NEUT_ABS,0.572,1
GLU0,TG,0.546,1
NEUT_ABS,TG,0.528,1
NEUT_ABS,PCT,0.524,1
GLU0,PCT,0.514,1
PCT,TG,0.51,1
INS0,RDW,0.502,1
LYMPH_ABS,NEUT_ABS,0.494,0
DHEAS,FT4,0.492,0
INS0,MONO_ABS,0.48,0
FT4,SHBG,0.466,0
TG,TSH,0.45,0
LYMPH_ABS,PCT,0.396,0
FSH,TG,0.36,0
LDL,PLT,0.344,1
LYMPH_ABS,TG,0.338,0
HDL,NEUT_ABS,0.324,0
ATA_TPO,TSH,0.322,0
CORT_8,LH,0.306,0
AMH,DHEAS,0.306,0
CORT_23,LH,0.3,0
DHEAS,HDL,0.264,0
PLT,RDW,0.246,0
LYMPH_ABS,PLT,0.242,0
CORT_8,MPV,0.228,0
DHEAS,PLT,0.228,0
MONO_ABS,PLT,0.224,0
ANDRO,TG,0.196,0
FT4,LDL,0.186,0
FT4,RDW,0.17,0
GLU0,RDW,0.168,0
NEUT_ABS,PLT,0.166,0
INS0,LDL,0.166,0
FSH,WBC,0.146,0
CORT_23,HDL,0.146,0
DHEAS,INS0,0.138,0
ANDRO,FSH,0.136,0
CORT_23,GLU0,0.13,0
PLT,SHBG,0.13,0
CORT_23,TG,0.118,0
GLU120,PCT,0.114,0
GLU120,LYMPH_ABS,0.11,0
GLU0,MONO_ABS,0.108,0
LDL,PCT,0.096,0
ATA_TG,INS0,0.094,0
HDL,PCT,0.094,0
ANDRO,LDL,0.09,0
GLU0,LDL,0.09,0
HDL,LYMPH_ABS,0.08,0
ATA_TG,MONO_ABS,0.076,0
ANDRO,INS0,0.074,0
ATA_TG,CORT_8,0.074,0
DHEAS,PCT,0.07,0
CORT_8,TCHOL,0.068,0
CORT_8,PDW,0.062,0
PCT,TSH,0.06,0
LDL,TSH,0.056,0
DHEAS,NEUT_ABS,0.054,0
CORT_23,FSH,0.052,0
FT4,MONO_ABS,0.046,0
CORT_8,TSH,0.044,0
INS0,TSH,0.042,0
ATA_TG,LDL,0.042,0
ANDRO,GLU120,0.042,0
FT4,GLU120,0.038,0
ANDRO,TCHOL,0.038,0
GLU120,LDL,0.036,0
FSH,NEUT_ABS,0.036,0
AMH,LYMPH_ABS,0.036,0
AMH,TCHOL,0.034,0
AMH,PCT,0.03,0
LYMPH_ABS,TSH,0.03,0
ANDRO,SHBG,0.028,0
AMH,ATA_TPO,0.024,0
FSH,LYMPH_ABS,0.024,0
FSH,HDL,0.024,0
CORT_8,INS0,0.02,0
FSH,RDW,0.018,0
CORT_23,MONO_ABS,0.018,0
CORT_23,PCT,0.018,0
DHEAS,FSH,0.018,0
PCT,SHBG,0.018,0
ATA_TPO,FT4,0.018,0
ATA_TPO,WBC,0.018,0
RDW,TSH,0.018,0
MONO_ABS,RDW,0.016,0
CORT_8,PLCR,0.014,0
ANDRO,CORT_8,0.014,0
HDL,MONO_ABS,0.014,0
CORT_23,SHBG,0.014,0
ATA_TPO,RDW,0.014,0
RDW,TCHOL,0.014,0
HDL,PLT,0.012,0
AMH,SHBG,0.012,0
CORT_8,DHEAS,0.012,0
ATA_TPO,NEUT_ABS,0.012,0
GLU0,WBC,0.01,0
LH,WBC,0.01,0
DHEAS,TSH,0.01,0
GLU0,PLT,0.01,0
LDL,WBC,0.01,0
CORT_23,DHEAS,0.01,0
LDL,NEUT_ABS,0.01,0
ATA_TG,GLU0,0.008,0
MONO_ABS,MPV,0.008,0
MPV,RDW,0.008,0
LYMPH_ABS,MONO_ABS,0.008,0
MONO_ABS,SHBG,0.008,0
CORT_8,FSH,0.008,0
ATA_TPO,INS0,0.008,0
FT4,TSH,0.006,0
FT4,INS0,0.006,0
DHEAS,RDW,0.006,0
ATA_TG,HDL,0.006,0
MONO_ABS,PDW,0.006,0
DHEAS,WBC,0.006,0
AMH,MPV,0.006,0
FSH,GLU0,0.006,0
LYMPH_ABS,SHBG,0.006,0
RDW,TG,0.004,0
ANDRO,FT4,0.004,0
ATA_TG,WBC,0.004,0
ATA_TPO,CORT_23,0.004,0
ATA_TPO,HDL,0.004,0
AMH,LDL,0.004,0
CORT_23,FT4,0.004,0
AMH,INS0,0.004,0
GLU0,TSH,0.004,0
AMH,ATA_TG,0.004,0
INS0,LH,0.004,0
ATA_TPO,LYMPH_ABS,0.004,0
ATA_TPO,MONO_ABS,0.004,0
FSH,MPV,0.002,0
ATA_TG,CORT_23,0.002,0
ATA_TPO,PDW,0.002,0
GLU0,MPV,0.002,0
