alpha,log_likelihood_per_sample,n_edges,density,ebic_gamma_0_5,eligible_density_le_0_20
0.05,-34.663324185317734,213,0.27307692307692305,92250.46162781163,True
0.075,-36.924206079053555,152,0.19487179487179487,97178.6897589056,True
0.1,-38.57494354221961,132,0.16923076923076924,101133.64549790819,True
0.125,-39.97281842136176,118,0.15128205128205127,104525.46097567944,True
0.15,-41.156908498260286,108,0.13846153846153847,107425.5701453322,True
0.2,-43.08771127126546,96,0.12307692307692308,112217.15026774521,True
0.25,-44.65653802268341,83,0.1064102564102564,116063.19101182283,True
0.3,-46.06276884828382,64,0.08205128205128205,119403.8127298196,True
0.4,-48.42216636013143,52,0.06666666666666667,125297.73852053535,True
0.5,-50.53953602509608,35,0.04487179487179487,130496.48343500301,True
0.6,-52.26989003201777,25,0.03205128205128205,134801.58343267534,True
