feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
SHBG,endocrine,14,0.7706616981235637,0.008097165991902834,11,0.5036903659472151
FT4,thyroid,12,0.4191645688299879,0.03508771929824561,11,0.4169465999208654
ATA_TG,thyroid,9,0.6544722123969989,0.05128205128205128,8,0.2764631404174702
ANDRO,endocrine,12,0.7821609854433416,0.22132253711201078,7,0.20284560202546556
GLU120,metabolic,15,0.29692201401594476,0.1282051282051282,9,0.1769441439486773
DHEAS,endocrine,12,0.6795819678831168,0.0,6,0.1708414143860796
HDL,metabolic,12,1.4823606371758014,0.0,4,0.14613630204086245
TG_HDL_ratio,metabolic,14,1.2353275982388208,0.044534412955465584,7,0.11762989507073798
TSH,thyroid,11,0.16957634631372034,0.11066126855600539,10,0.11750832718289665
TCHOL,metabolic,11,1.4313307265817428,0.11740890688259109,6,0.1169777055642514
CORT_8,endocrine,10,1.1659755406177505,0.0,5,0.11671642687643848
INS0,metabolic,9,1.122449062154633,0.15789473684210525,6,0.10581399731550119
GLU0,metabolic,16,0.5018010350935814,0.2739541160593792,11,0.09702913673291276
FSH,endocrine,10,1.4023775249262707,0.0,5,0.09386412105591514
RDW,inflammatory,9,0.16085599678634768,0.08367071524966262,7,0.08688840065395113
MONO_ABS,inflammatory,11,1.3477362148266483,0.06477732793522267,5,0.0830244970612413
HOMA_IR,metabolic,13,1.0991742396147277,0.0,6,0.07862190450303927
WBC,inflammatory,14,1.274398228484201,0.0,7,0.07163452051547835
TG,metabolic,14,1.4697470807200885,0.048582995951417005,7,0.058142205312463134
NEUT_ABS,inflammatory,6,1.5084741968345232,0.0,2,0.05185581955514256
LH,endocrine,10,1.598181127136672,0.11740890688259109,4,0.050838951280367355
MLR,inflammatory,14,1.3965016119756744,0.0,7,0.048936483913609496
PCT,inflammatory,16,1.2429579404583893,0.16059379217273953,6,0.0317249589617257
CORT_23,endocrine,8,1.3858834015166739,0.013495276653171389,3,0.03106711553728161
QUICKI,metabolic,8,0.9881627679539522,0.15519568151147098,4,0.030950587460194797
AMH,endocrine,12,0.578606499434998,0.16869095816464236,7,0.027723738574345853
PLT,inflammatory,14,1.78564899350955,0.001349527665317139,4,0.027369717373052126
NLR,inflammatory,11,1.3509715744292725,0.05128205128205128,3,0.02578278164577636
non_HDL,metabolic,9,1.461605467743302,0.0,2,0.023333312847404912
SII,inflammatory,10,1.3872287334321984,0.032388663967611336,4,0.017592442589374764
MPV,inflammatory,10,1.198296490569757,0.21727395411605938,4,0.016402677477395503
TyG,metabolic,13,1.1183619127211726,0.24156545209176786,4,0.01595148418136321
LDL,metabolic,5,1.0705667510397188,0.0,1,0.014287482636019607
LYMPH_ABS,inflammatory,12,2.082657757098281,0.19298245614035087,5,0.011406506039323566
ATA_TPO,thyroid,6,0.44285248019628665,0.07692307692307691,3,0.010557420176811775
PDW,inflammatory,9,0.8168754624046297,0.05668016194331984,3,0.006398990331998939
PLR,inflammatory,13,1.511134146657371,0.05128205128205128,1,0.0029535919265941076
CORT_ratio_23_8,endocrine,3,1.3594337839001136,0.0,1,0.0016336063523811144
LH_FSH_ratio,endocrine,4,1.685641986435733,0.0,0,0.0
PLCR,inflammatory,5,1.259128341084647,0.0,0,0.0
