source,target,weight,abs_weight,sign,source_domain,target_domain,cross_domain
LH,LH_FSH_ratio,0.8493896855123626,0.8493896855123626,positive,endocrine,endocrine,False
CORT_23,CORT_ratio_23_8,0.8452083555601346,0.8452083555601346,positive,endocrine,endocrine,False
PLT,PCT,0.7780784168534672,0.7780784168534672,positive,inflammatory,inflammatory,False
MONO_ABS,MLR,0.7153897936804068,0.7153897936804068,positive,inflammatory,inflammatory,False
TG,TyG,0.6863273933558747,0.6863273933558747,positive,metabolic,metabolic,False
LH,FSH,0.6397580647163547,0.6397580647163547,positive,endocrine,endocrine,False
MPV,PLCR,0.6261743822346272,0.6261743822346272,positive,inflammatory,inflammatory,False
LDL,non_HDL,0.6006459630843387,0.6006459630843387,positive,metabolic,metabolic,False
WBC,NEUT_ABS,0.573024026142506,0.573024026142506,positive,inflammatory,inflammatory,False
INS0,HOMA_IR,0.536949333209907,0.536949333209907,positive,metabolic,metabolic,False
FSH,LH_FSH_ratio,-0.5277127555534543,0.5277127555534543,negative,endocrine,endocrine,False
CORT_8,CORT_ratio_23_8,-0.5125918219875979,0.5125918219875979,negative,endocrine,endocrine,False
TCHOL,HDL,0.48719160308525156,0.48719160308525156,positive,metabolic,metabolic,False
CORT_8,CORT_23,0.4871264312741914,0.4871264312741914,positive,endocrine,endocrine,False
INS0,QUICKI,-0.47223272714387393,0.47223272714387393,negative,metabolic,metabolic,False
NLR,SII,0.4660250482894786,0.4660250482894786,positive,inflammatory,inflammatory,False
TCHOL,non_HDL,0.4451059717645946,0.4451059717645946,positive,metabolic,metabolic,False
HDL,TG_HDL_ratio,-0.44342189767261175,0.44342189767261175,negative,metabolic,metabolic,False
LYMPH_ABS,MLR,-0.44117898812163103,0.44117898812163103,negative,inflammatory,inflammatory,False
LYMPH_ABS,PLR,-0.43645309737892335,0.43645309737892335,negative,inflammatory,inflammatory,False
PDW,PLCR,0.4259377564812199,0.4259377564812199,positive,inflammatory,inflammatory,False
TG,TG_HDL_ratio,0.39327078722252107,0.39327078722252107,positive,metabolic,metabolic,False
HOMA_IR,QUICKI,-0.38987588973499804,0.38987588973499804,negative,metabolic,metabolic,False
ATA_TPO,ATA_TG,0.3780090719795287,0.3780090719795287,positive,thyroid,thyroid,False
PLR,SII,0.37329687479336454,0.37329687479336454,positive,inflammatory,inflammatory,False
LYMPH_ABS,MONO_ABS,0.36570566282724287,0.36570566282724287,positive,inflammatory,inflammatory,False
NEUT_ABS,SII,0.3556337563855895,0.3556337563855895,positive,inflammatory,inflammatory,False
MPV,PDW,0.3484048785999864,0.3484048785999864,positive,inflammatory,inflammatory,False
WBC,LYMPH_ABS,0.34386895550933594,0.34386895550933594,positive,inflammatory,inflammatory,False
TCHOL,LDL,0.3388594373542679,0.3388594373542679,positive,metabolic,metabolic,False
NEUT_ABS,NLR,0.3358791869720687,0.3358791869720687,positive,inflammatory,inflammatory,False
PLT,PLR,0.26615403105680085,0.26615403105680085,positive,inflammatory,inflammatory,False
HDL,non_HDL,-0.2516024286366188,0.2516024286366188,negative,metabolic,metabolic,False
LYMPH_ABS,NLR,-0.24503763244770535,0.24503763244770535,negative,inflammatory,inflammatory,False
AMH,ANDRO,0.20896176474106948,0.20896176474106948,positive,endocrine,endocrine,False
DHEAS,ANDRO,0.20568593720501072,0.20568593720501072,positive,endocrine,endocrine,False
TyG,TG_HDL_ratio,0.19568691040540817,0.19568691040540817,positive,metabolic,metabolic,False
NEUT_ABS,PLR,-0.19208140777921653,0.19208140777921653,negative,inflammatory,inflammatory,False
SHBG,DHEAS,-0.18982225272195857,0.18982225272195857,negative,endocrine,endocrine,False
LYMPH_ABS,PLT,0.1821758802621091,0.1821758802621091,positive,inflammatory,inflammatory,False
AMH,LH_FSH_ratio,0.17642948354864202,0.17642948354864202,positive,endocrine,endocrine,False
ANDRO,ATA_TG,-0.17092592008692228,0.17092592008692228,negative,endocrine,thyroid,True
WBC,MONO_ABS,0.15537938508716995,0.15537938508716995,positive,inflammatory,inflammatory,False
PLT,SII,0.14579650610471498,0.14579650610471498,positive,inflammatory,inflammatory,False
PLT,NLR,-0.1444308499132467,0.1444308499132467,negative,inflammatory,inflammatory,False
GLU0,TyG,0.14426301892270377,0.14426301892270377,positive,metabolic,metabolic,False
ANDRO,LH_FSH_ratio,0.13211006182127408,0.13211006182127408,positive,endocrine,endocrine,False
SHBG,GLU120,-0.11978476160879134,0.11978476160879134,negative,endocrine,metabolic,True
NLR,MLR,0.11124960708421545,0.11124960708421545,positive,inflammatory,inflammatory,False
PCT,PLCR,0.10026805540546087,0.10026805540546087,positive,inflammatory,inflammatory,False
PLT,MPV,-0.09742793115359162,0.09742793115359162,negative,inflammatory,inflammatory,False
PLT,PLCR,-0.09418019747624991,0.09418019747624991,negative,inflammatory,inflammatory,False
MPV,PCT,0.09389614790676534,0.09389614790676534,positive,inflammatory,inflammatory,False
GLU0,QUICKI,-0.09178874680976407,0.09178874680976407,negative,metabolic,metabolic,False
DHEAS,AMH,-0.09104542311287087,0.09104542311287087,negative,endocrine,endocrine,False
DHEAS,FT4,0.08825809654619725,0.08825809654619725,positive,endocrine,thyroid,True
SHBG,TG_HDL_ratio,-0.08518648471174058,0.08518648471174058,negative,endocrine,metabolic,True
HDL,TG,0.08475128269697951,0.08475128269697951,positive,metabolic,metabolic,False
GLU0,TG,-0.08346930375428355,0.08346930375428355,negative,metabolic,metabolic,False
SHBG,HDL,0.08239357316653605,0.08239357316653605,positive,endocrine,metabolic,True
SHBG,INS0,-0.07769823293328373,0.07769823293328373,negative,endocrine,metabolic,True
WBC,PLR,-0.0735307816982874,0.0735307816982874,negative,inflammatory,inflammatory,False
FSH,SHBG,0.06963201387668981,0.06963201387668981,positive,endocrine,endocrine,False
RDW,PCT,0.0691243576683103,0.0691243576683103,positive,inflammatory,inflammatory,False
TCHOL,FT4,-0.06849352614695177,0.06849352614695177,negative,metabolic,thyroid,True
FSH,AMH,-0.06692902388036948,0.06692902388036948,negative,endocrine,endocrine,False
PCT,PLR,0.06210147423175747,0.06210147423175747,positive,inflammatory,inflammatory,False
TG,non_HDL,0.06208791856569501,0.06208791856569501,positive,metabolic,metabolic,False
GLU0,GLU120,0.061237103612635686,0.061237103612635686,positive,metabolic,metabolic,False
LDL,TG,-0.0608658300069689,0.0608658300069689,negative,metabolic,metabolic,False
PLR,MLR,0.06037282428253848,0.06037282428253848,positive,inflammatory,inflammatory,False
LYMPH_ABS,PCT,0.056831034512009736,0.056831034512009736,positive,inflammatory,inflammatory,False
FSH,FT4,0.056514092309051224,0.056514092309051224,positive,endocrine,thyroid,True
LDL,HDL,-0.055908037958123706,0.055908037958123706,negative,metabolic,metabolic,False
SHBG,FT4,0.05507384741146418,0.05507384741146418,positive,endocrine,thyroid,True
TSH,ATA_TPO,0.052068019130823685,0.052068019130823685,positive,thyroid,thyroid,False
CORT_8,HDL,0.047704182729825566,0.047704182729825566,positive,endocrine,metabolic,True
TG_HDL_ratio,non_HDL,0.045013051593536295,0.045013051593536295,positive,metabolic,metabolic,False
LH,FT4,0.04309656870432399,0.04309656870432399,positive,endocrine,thyroid,True
RDW,FT4,-0.041002566595008214,0.041002566595008214,negative,inflammatory,thyroid,True
TCHOL,TG,0.04083235980530275,0.04083235980530275,positive,metabolic,metabolic,False
DHEAS,MONO_ABS,0.03818820185842577,0.03818820185842577,positive,endocrine,inflammatory,True
SHBG,NEUT_ABS,-0.03629991829850054,0.03629991829850054,negative,endocrine,inflammatory,True
TyG,non_HDL,0.03297663224393969,0.03297663224393969,positive,metabolic,metabolic,False
TCHOL,TSH,0.030172947799307466,0.030172947799307466,positive,metabolic,thyroid,True
WBC,PLT,0.029001351978019056,0.029001351978019056,positive,inflammatory,inflammatory,False
CORT_8,ATA_TG,-0.026642261978958835,0.026642261978958835,negative,endocrine,thyroid,True
SHBG,HOMA_IR,-0.02515507925472894,0.02515507925472894,negative,endocrine,metabolic,True
CORT_23,QUICKI,0.024674310102650865,0.024674310102650865,positive,endocrine,metabolic,True
CORT_8,TSH,0.024580584314373634,0.024580584314373634,positive,endocrine,thyroid,True
HOMA_IR,TyG,0.02411037985311637,0.02411037985311637,positive,metabolic,metabolic,False
GLU0,HOMA_IR,0.024013725261281597,0.024013725261281597,positive,metabolic,metabolic,False
TG,FT4,-0.02386592858350219,0.02386592858350219,negative,metabolic,thyroid,True
LH,CORT_8,-0.02367930526772885,0.02367930526772885,negative,endocrine,endocrine,False
